82,64,83,90,64,75,81,61
71,90,76,81,76,77,100,60
79,83,82,77,67,90,75,71
76,93,90,99,66,80,86,55
71,80,80,92,76,77,80,77
66,99,80,79,77,83,83,67
69,91,90,90,82,83,88,58
79,81,81,86,67,79,90,46
90,77,73,75,94,76,76,100
94,83,88,95,73,66,70,100
59,74,82,88,72,77,76,100
80,63,0,85,65,87,77,100
56,82,83,82,67,78,72,73
85,100,79,76,74,76,88,86
83,79,85,66,69,80,76,69
68,100,66,84,76,77,76,75
73,77,84,86,68,65,70,63
68,82,88,87,67,81,100,37
100,87,100,89,79,75,78,56
74,64,68,74,81,87,91,68
83,66,78,88,76,67,76,88
73,100,84,92,74,65,98,86
87,93,83,88,63,79,74,61
64,93,78,92,82,84,85,77
72,87,86,85,73,88,80,70
77,86,76,80,72,78,98,81
78,60,91,88,80,81,78,75
80,70,74,88,75,57,69,74
63,91,92,83,75,75,70,64
70,76,84,83,77,89,80,63
81,100,71,100,70,98,75,32
81,69,89,84,71,81,100,61
91,92,89,79,90,60,88,100
55,72,78,99,70,78,93,89
77,86,88,89,79,85,85,53
73,79,89,100,83,80,100,69
66,100,82,100,68,77,78,58
72,84,68,99,80,88,91,63
76,87,92,77,71,95,75,89
60,91,80,100,81,80,75,55
66,85,86,88,67,63,93,100
80,80,67,93,62,76,87,69
73,93,81,95,79,63,97,65
67,78,78,90,85,84,100,41
88,90,78,93,66,84,97,83
74,67,86,94,65,82,86,75
95,90,78,92,73,69,60,82
70,86,69,85,82,83,87,80
60,88,85,92,79,77,100,90
77,96,79,84,82,81,100,75
100,77,67,82,81,87,76,60
62,99,79,93,77,94,87,80
69,78,76,82,83,84,100,76
97,88,91,100,83,79,83,69
69,88,69,80,81,69,78,68
71,87,71,76,79,90,63,76
62,89,83,90,67,77,71,68
96,73,86,94,86,74,82,63
62,97,77,82,79,87,85,79
89,92,74,92,84,72,90,74
91,91,84,85,79,73,73,39
71,97,91,87,84,91,85,98
75,73,85,100,75,72,68,70
63,71,82,98,75,91,100,55
75,95,75,79,73,82,92,73
73,96,90,97,71,75,89,41
68,75,91,100,72,74,90,61
71,78,88,84,74,80,79,73
88,87,97,82,86,76,81,46
82,65,79,79,73,73,78,65
67,82,92,81,82,90,71,95
79,85,70,83,84,75,89,40
63,95,72,80,69,86,84,83
77,100,90,89,83,77,82,82
76,52,82,77,78,79,92,70
67,100,83,79,79,100,84,64
79,95,77,83,76,87,79,68
67,90,82,82,77,94,89,72
66,86,91,87,85,71,85,61
69,92,76,88,79,69,87,80
87,78,86,77,79,75,68,79
79,82,80,78,63,90,67,61
62,88,78,91,78,77,100,77
84,81,73,73,72,86,100,68
80,88,100,80,87,67,82,74
74,65,79,96,79,61,68,60
75,77,67,97,79,78,76,81
65,80,77,85,65,71,80,62
83,66,90,93,83,84,90,94
73,88,80,83,76,65,85,41
80,93,79,93,73,92,85,73
86,93,78,100,82,69,81,76
60,80,95,100,76,86,100,80
86,100,86,90,77,91,68,72
83,58,78,100,83,74,98,49
71,92,82,95,76,81,100,50
75,100,79,98,68,84,88,60
69,75,83,98,71,79,100,71
60,96,79,79,65,78,100,77
63,94,69,69,61,63,75,66
60,86,90,85,73,71,88,61
56,65,72,92,80,60,70,53
77,86,79,64,66,72,86,67
84,75,82,97,69,70,82,64
77,72,94,91,83,89,89,35
82,75,71,80,86,72,81,78
57,94,99,81,83,82,100,69
71,85,100,86,82,71,100,67
79,78,83,87,80,78,75,93
85,76,86,76,67,92,86,73
69,90,67,90,77,62,77,54
59,78,100,74,71,97,77,72
67,100,83,77,69,74,100,59
85,85,58,76,84,78,44,60
60,83,78,87,79,80,97,92
70,76,72,89,82,95,81,79
92,95,76,85,77,80,89,87
93,85,82,81,88,97,86,51
68,80,87,81,78,78,100,47
73,79,78,79,75,76,70,67
60,81,77,89,55,68,70,48
85,81,76,91,76,83,91,51
78,76,83,79,77,81,76,72
67,65,67,64,73,76,100,48
71,90,69,78,75,83,69,94
69,91,74,78,75,80,100,35
37,90,69,88,75,68,94,62
70,98,78,92,81,64,73,55
95,88,83,75,77,77,80,75
69,72,58,94,80,81,83,59
94,97,79,97,81,78,70,86
61,98,84,82,77,92,82,38
62,88,76,79,86,80,94,79
81,76,71,81,84,73,92,76
66,91,83,75,73,86,82,62
67,77,82,86,97,93,100,57
67,73,67,89,75,84,100,67
83,83,85,83,70,73,100,81
71,90,87,89,68,73,74,100
81,58,72,80,85,85,65,61
85,63,83,91,67,82,68,48
69,88,76,86,63,80,100,43
62,82,76,100,75,79,92,70
70,86,74,89,86,76,99,66
60,62,75,85,78,77,96,93
70,99,92,70,83,75,100,76
84,99,82,89,66,91,96,66
62,77,62,92,68,71,85,69
70,78,80,83,69,74,86,40
72,91,73,88,75,78,63,100
61,82,69,99,63,62,93,76
82,86,79,84,89,74,75,42
73,50,87,80,73,88,69,86
100,97,75,92,73,82,72,58
70,83,95,81,81,77,65,64
77,86,96,69,66,87,60,55
73,84,66,90,66,87,100,98
71,72,93,85,83,77,63,73
71,87,85,76,77,68,93,84
72,98,82,80,69,75,48,69
92,100,71,88,73,74,54,80
71,91,82,83,62,82,93,85
54,90,76,84,79,80,99,69
78,90,79,83,79,93,71,39
78,100,73,92,72,56,88,80
71,84,86,87,75,86,97,78
74,79,87,82,72,77,86,93
84,84,80,82,78,76,70,88
79,79,73,98,73,93,95,85
58,76,78,81,81,81,100,73
73,70,82,82,70,67,95,56
59,78,79,89,68,88,100,83
77,91,82,83,79,74,50,61
83,73,87,87,68,78,84,87
65,92,86,86,82,90,76,66
71,85,81,82,78,84,68,98
77,81,72,74,70,88,82,58
80,84,92,95,76,85,75,73
78,94,84,93,81,78,58,61
60,94,87,87,71,71,95,25
65,91,90,88,80,78,95,66
74,100,86,89,66,79,83,100
78,87,92,91,76,100,85,55
81,65,83,86,85,90,90,49
65,87,92,82,84,81,74,73
57,76,73,78,61,73,74,75
82,68,71,87,70,81,94,34
70,91,88,87,68,75,92,64
78,89,93,93,74,82,75,77
69,77,79,93,75,63,87,64
86,88,80,76,68,73,74,62
82,91,83,87,77,75,67,80
70,87,72,83,88,75,85,52
72,100,75,66,68,73,64,71
71,76,93,68,70,93,64,71
77,62,73,91,72,97,67,65
63,92,89,92,72,98,99,57
79,93,100,79,78,83,85,50
66,64,88,85,67,85,82,66
75,96,70,80,88,71,91,79
79,99,80,78,73,82,89,65
64,82,78,82,71,66,74,86
57,73,98,88,90,62,74,38
82,91,100,77,65,75,81,69
73,83,78,91,83,90,69,74
73,100,82,99,69,85,87,57
74,83,88,97,69,70,91,61
80,87,0,75,83,79,58,54
74,84,0,87,81,74,98,77
64,78,0,83,73,100,96,69
67,85,0,100,76,73,89,56
74,100,0,91,69,83,79,93
73,87,0,90,78,72,77,68
55,85,0,81,72,78,63,52
79,88,0,89,81,70,75,70
64,78,0,78,68,77,59,74
83,100,0,81,67,85,62,64
70,78,87,78,74,87,93,64
96,85,92,82,70,85,99,65
70,84,88,93,74,88,83,70
68,60,73,73,61,78,81,66
75,79,82,87,80,78,88,55
68,84,87,83,84,75,72,62
84,100,73,79,69,72,90,80
98,87,74,71,70,68,91,65
78,61,80,78,82,97,90,65
67,74,86,75,73,85,95,59
63,98,92,89,73,85,85,49
77,78,86,92,73,84,86,66
91,93,64,83,65,71,93,52
94,79,77,94,77,73,77,68
70,91,86,80,75,88,70,90
75,87,98,75,88,82,83,63
84,79,87,89,79,77,69,89
77,79,79,88,86,69,91,60
82,100,96,95,74,84,80,69
70,89,85,93,82,87,71,91
75,72,82,82,78,95,80,67
62,93,88,96,75,65,94,74
83,80,73,100,84,65,75,74
67,66,94,85,81,74,100,71
72,100,83,77,76,76,100,53
57,74,79,91,81,76,70,69
73,87,71,92,76,88,91,60
77,87,86,91,69,61,98,79
69,70,71,88,77,96,71,61
71,96,78,87,64,81,87,57
76,76,58,95,73,84,83,72
54,83,100,76,74,56,82,59
89,95,76,78,74,87,100,56
80,92,80,85,75,72,82,65
69,78,85,84,83,64,70,80
70,81,76,87,95,98,93,69
64,73,68,83,64,73,67,68
82,92,74,93,64,78,70,93
76,88,88,81,91,91,75,68
76,93,95,100,73,74,94,67
78,82,76,88,71,80,81,64
93,94,71,80,74,74,66,69
79,70,87,82,87,88,97,83
64,66,98,81,69,73,83,67
71,77,69,99,72,86,83,46
85,90,88,77,78,74,93,71
80,97,75,87,72,67,82,75
92,98,68,88,72,59,74,53
84,69,82,90,63,86,100,39
83,82,79,84,68,65,90,78
74,86,85,90,78,84,100,72
79,78,80,89,70,73,83,58
75,64,99,79,66,69,82,52
